transaction_id,amount,root_cause,predicted_probability,proposed_action,final_action,policy_allowed,policy_reason,policy_violations,outcome,recovered_amount,timestamp
pay_00000000000000,738508,NETWORK_TIMEOUT,0.9517,retry,retry,True,Action permitted under current policy.,[],SUCCESS,738508,1788630967
pay_00000000000001,92357,UPI_FAILURE,0.3188,switch_to_card,escalate,False,Attempt 4 >= escalation threshold (3); escalating instead of switch_to_card.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000002,80589,NETWORK_TIMEOUT,0.8491,retry,retry,True,Action permitted under current policy.,[],SUCCESS,80589,1788630967
pay_00000000000003,762982,UPI_FAILURE,0.9007,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,762982,1788630967
pay_00000000000004,713054,CARD_FAILURE,0.8957,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000005,170422,CARD_FAILURE,0.782,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000006,2879583,USER_ABANDONMENT,0.2379,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630967
pay_00000000000007,594154,RETRY_LIMIT,0.185,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630967
pay_00000000000008,1224365,NETWORK_TIMEOUT,0.9392,retry,retry,True,Action permitted under current policy.,[],SUCCESS,1224365,1788630967
pay_00000000000009,349122,USER_ABANDONMENT,0.8385,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,349122,1788630967
pay_00000000000010,423432,CARD_FAILURE,0.442,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,423432,1788630967
pay_00000000000011,467212,NETWORK_TIMEOUT,0.3633,retry,retry,True,Action permitted under current policy.,[],SUCCESS,467212,1788630967
pay_00000000000012,3120961,BANK_DECLINE,0.1545,send_reminder,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of send_reminder.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000013,191832,USER_ABANDONMENT,0.673,send_reminder,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of send_reminder.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000014,111917,BANK_DECLINE,0.1163,send_reminder,stop,False,P(recovery)=0.12 below floor (0.2); stopping.,['below_probability_floor'],NO_ACTION,0,1788630967
pay_00000000000015,2297935,UPI_FAILURE,0.8427,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],FAILURE,0,1788630967
pay_00000000000016,1845432,USER_ABANDONMENT,0.2765,send_reminder,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of send_reminder.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000017,374082,NETWORK_TIMEOUT,0.9708,retry,retry,True,Action permitted under current policy.,[],SUCCESS,374082,1788630967
pay_00000000000018,552630,CARD_FAILURE,0.7199,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,552630,1788630967
pay_00000000000019,316889,RETRY_LIMIT,0.0864,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630967
pay_00000000000020,638557,BANK_DECLINE,0.7572,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,638557,1788630967
pay_00000000000021,77125,CARD_FAILURE,0.2811,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,77125,1788630967
pay_00000000000022,2916206,NETWORK_TIMEOUT,0.8771,retry,retry,True,Action permitted under current policy.,[],SUCCESS,2916206,1788630967
pay_00000000000023,785324,NETWORK_TIMEOUT,0.3395,retry,retry,True,Action permitted under current policy.,[],SUCCESS,785324,1788630967
pay_00000000000024,708623,CARD_FAILURE,0.8789,switch_to_upi,escalate,False,Attempt 4 >= escalation threshold (3); escalating instead of switch_to_upi.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000025,771254,CARD_FAILURE,0.3354,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,771254,1788630967
pay_00000000000026,114381,NETWORK_TIMEOUT,0.901,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000027,52951,USER_ABANDONMENT,0.3682,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,52951,1788630967
pay_00000000000028,58290,NETWORK_TIMEOUT,0.9609,retry,retry,True,Action permitted under current policy.,[],SUCCESS,58290,1788630967
pay_00000000000029,52530,UPI_FAILURE,0.2796,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,52530,1788630967
pay_00000000000030,51439,NETWORK_TIMEOUT,0.5257,retry,retry,True,Action permitted under current policy.,[],SUCCESS,51439,1788630967
pay_00000000000031,27816,UPI_FAILURE,0.2275,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,27816,1788630967
pay_00000000000032,108381,USER_ABANDONMENT,0.6302,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630967
pay_00000000000033,569904,RETRY_LIMIT,0.1719,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630967
pay_00000000000034,57752,NETWORK_TIMEOUT,0.2233,retry,retry,True,Action permitted under current policy.,[],SUCCESS,57752,1788630967
pay_00000000000035,44983,NETWORK_TIMEOUT,0.9888,retry,retry,True,Action permitted under current policy.,[],SUCCESS,44983,1788630967
pay_00000000000036,551574,CARD_FAILURE,0.6454,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,551574,1788630967
pay_00000000000037,427896,UPI_FAILURE,0.6688,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],FAILURE,0,1788630967
pay_00000000000038,464012,BANK_DECLINE,0.247,send_reminder,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of send_reminder.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000039,417729,RETRY_LIMIT,0.5101,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630967
pay_00000000000040,3200770,USER_ABANDONMENT,0.1172,send_reminder,escalate,False,Attempt 4 >= escalation threshold (3); escalating instead of send_reminder.,['attempt_ceiling_exceeded'],FAILURE,0,1788630967
pay_00000000000041,90701,NETWORK_TIMEOUT,0.9123,retry,retry,True,Action permitted under current policy.,[],SUCCESS,90701,1788630967
